id,name,model,area,year,doi,task,url
45,Effective Visualization of File System Access-Control,TreeMaps,Контроль доступа,2008,10.1007/978-3-540-85933-8_2,Анализ политик (иерархические),https://link.springer.com/chapter/10.1007/978-3-540-85933-8_2
46,Visual Analysis of Photo Policy Misconfigurations Using Treemap,TreeMaps,Контроль доступа,2019,-,Анализ политик (иерархические),https://arxiv.org/abs/1903.02612
47,Access Control Visualization Using Triangular Matrices,Matrix;TreeMaps;Tree,Контроль доступа,2019,10.1109/EMPDP.2019.8671578,Анализ политик (иерархические),https://ieeexplore.ieee.org/document/8671578
48,On Building a Visualisation Tool for Access Control Policies,TreeMaps;Tree,Контроль доступа,2018,10.1007/978-3-030-25109-3_12,Анализ политик (иерархические),https://link.springer.com/chapter/10.1007/978-3-030-25109-3_12
49,Accessible access control: a visualization system for accessible access control: a visualization system for access control policy management access control policy management,Tree,Контроль доступа,2019,-,Анализ политик (иерархические),https://digitalcommons.mtu.edu/etdr/841/
50,Acquisition and visualization of sensitive security audit events,Graph,Предотвращение утечек,2008,10.1109/ICINFA.2008.4608243,Анализ данных сессий,https://ieeexplore.ieee.org/abstract/document/4608243/
51,Визуализация аномальной активности в перемещениях сотрудников критической инфраструктуры,Chart,Предотвращение утечек,2017,-,Анализ перемещения сотрудников,https://izv.etu.ru/assets/files/izv-etu-4-2017-25-31.pdf
52,Выявление инсайдеров в корпоративной сети: подход на базе UBA и UEBA,Graph,Предотвращение утечек,2019,-,Анализ данных сессий,http://www.inside-zi.ru/pages/5_2019/26.html
53,Использование моделей визуализации данных в DLP системах,Chart;Graph,Предотвращение утечек,2017,-,Анализ перемещения сотрудников|Анализ активности сотрудника,http://spoisu.ru/files/riib/riib_3_2017.pdf
54,Practical firewall policy inspection using anomaly detection and its visualization,Matrix;Graph,Сетевая безопасность,2014,10.1007/s11042-013-1673-8,Мониторинг работы фаервола|Управление правилами фаервола,https://link.springer.com/article/10.1007/s11042-013-1673-8
55,Visual firewall: Real-time network security monitor,Parallel coordinates,Сетевая безопасность,2005,10.1109/VIZSEC.2005.1532075,Мониторинг работы фаервола,https://ieeexplore.ieee.org/abstract/document/1532075
56,Visual analysis of complex firewall configurations,Tree,Сетевая безопасность,2012,10.1145/2379690.2379691,Управление правилами фаервола,https://dl.acm.org/doi/abs/10.1145/2379690.2379691
57,Visualizing firewall configurations using created voids,Parallel coordinates,Сетевая безопасность,2009,10.1109/VIZSEC.2009.5375546,Управление правилами фаервола,https://ieeexplore.ieee.org/abstract/document/5375546
